date,avg_monthly_price,price,year,month,month_name,quarter,season,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,diff_1,sin_month,cos_month,weight
2012-07-01,6713,8.81195017753998,2012,7,Jul,3,Monsoon,8.90598676523643,8.969923491991516,8.960339366492091,9.232688775639945,8.945416541240013,0.034481796533369295,-0.09403658769644885,-0.4999999999999997,-0.8660254037844388,0.02024191144580439
2012-08-01,6875,8.83579236650274,2012,8,Aug,3,Monsoon,8.81195017753998,8.90598676523643,8.969923491991516,9.261128538808288,8.895953478255974,0.07946314966968171,0.023842188962760247,-0.8660254037844385,-0.5000000000000004,0.02024191144580439
2012-09-01,7075,8.864464055279676,2012,9,Sep,3,Monsoon,8.83579236650274,8.81195017753998,8.90598676523643,9.201602306032898,8.85124310309305,0.04888521148860817,0.028671688776935156,-1.0,-1.8369701987210297e-16,0.02024191144580439
2012-10-01,6600,8.79497643168877,2012,10,Oct,4,Post-Monsoon,8.864464055279676,8.83579236650274,8.81195017753998,9.125653563808989,8.837402199774132,0.02629392536664349,-0.06948762359090566,-0.8660254037844386,0.5000000000000001,0.02024191144580439
2012-11-01,6500,8.77971129020447,2012,11,Nov,4,Post-Monsoon,8.79497643168877,8.864464055279676,8.83579236650274,9.010791269515602,8.831744284490396,0.03492023316162368,-0.015265141484301026,-0.5000000000000004,0.8660254037844384,0.02024191144580439
2012-12-01,6375,8.760296220470051,2012,12,Dec,4,Winter,8.77971129020447,8.79497643168877,8.864464055279676,8.995040974685022,8.813050592390972,0.045174818879437806,-0.019415069734417756,-2.4492935982947064e-16,1.0,0.02024191144580439
2013-01-01,6412,8.766082459148864,2013,1,Jan,1,Winter,8.760296220470051,8.77971129020447,8.79497643168877,8.993551586299981,8.778327980787763,0.01738143898674068,0.005786238678812339,0.49999999999999994,0.8660254037844387,0.02732372244729257
2013-02-01,6287,8.746398334109042,2013,2,Feb,1,Winter,8.766082459148864,8.760296220470051,8.77971129020447,8.952346543226227,8.768696656607794,0.00996803664032733,-0.019684125039821865,0.8660254037844386,0.5000000000000001,0.02732372244729257
2013-03-01,6429,8.768729817231666,2013,3,Mar,1,Summer,8.746398334109042,8.766082459148864,8.760296220470051,8.996651979432729,8.75759233790932,0.010116789526398128,0.022331483122624007,1.0,6.123233995736766e-17,0.02732372244729257
2013-04-01,6327,8.75273950944749,2013,4,Apr,2,Summer,8.768729817231666,8.746398334109042,8.766082459148864,8.960339366492091,8.760403536829857,0.012200877166907598,-0.015990307784175428,0.8660254037844387,-0.4999999999999998,0.02732372244729257
2013-05-01,6419,8.767173396684006,2013,5,May,2,Summer,8.75273950944749,8.768729817231666,8.746398334109042,8.969923491991516,8.7559558869294,0.011507936291642698,0.01443388723651573,0.49999999999999994,-0.8660254037844387,0.02732372244729257
2013-06-01,6270,8.74369111054302,2013,6,Jun,2,Monsoon,8.767173396684006,8.75273950944749,8.768729817231666,8.90598676523643,8.76288090778772,0.008817118659218236,-0.02348228614098602,1.2246467991473532e-16,-1.0,0.02732372244729257
2013-07-01,5896,8.682199026000504,2013,7,Jul,3,Monsoon,8.74369111054302,8.767173396684006,8.75273950944749,8.81195017753998,8.754534672224837,0.01184362265730045,-0.06149208454251642,-0.4999999999999997,-0.8660254037844388,0.02732372244729257
2013-08-01,6123,8.719970756777574,2013,8,Aug,3,Monsoon,8.682199026000504,8.74369111054302,8.767173396684006,8.83579236650274,8.73102117774251,0.04388116128978099,0.03777173077707019,-0.8660254037844385,-0.5000000000000004,0.02732372244729257
2013-09-01,6590,8.79346036105272,2013,9,Sep,3,Monsoon,8.719970756777574,8.682199026000504,8.74369111054302,8.864464055279676,8.715286964440367,0.03101245795382281,0.07348960427514584,-1.0,-1.8369701987210297e-16,0.02732372244729257
2013-10-01,7744,8.954802752850968,2013,10,Oct,4,Post-Monsoon,8.79346036105272,8.719970756777574,8.682199026000504,8.79497643168877,8.731876714610266,0.05657813220082531,0.16134239179824839,-0.8660254037844386,0.5000000000000001,0.02732372244729257
2013-11-01,11016,9.307194813340065,2013,11,Nov,4,Post-Monsoon,8.954802752850968,8.79346036105272,8.719970756777574,8.77971129020447,8.822744623560421,0.12012365553011714,0.35239206048909644,-0.5000000000000004,0.8660254037844384,0.02732372244729257
2013-12-01,10670,9.275285060616564,2013,12,Dec,4,Winter,9.307194813340065,8.954802752850968,8.79346036105272,8.760296220470051,9.018485975747918,0.2627212144567958,-0.03190975272350016,-2.4492935982947064e-16,1.0,0.02732372244729257
2014-01-01,10919,9.298351249298896,2014,1,Jan,1,Winter,9.275285060616564,9.307194813340065,8.954802752850968,8.766082459148864,9.179094208935867,0.1948962571067893,0.02306618868233201,0.49999999999999994,0.8660254037844387,0.036883167401240015
2014-02-01,9984,9.208839245849916,2014,2,Feb,1,Winter,9.298351249298896,9.275285060616564,9.307194813340065,8.746398334109042,9.293610374418508,0.016474677559764683,-0.08951200344898069,0.8660254037844386,0.5000000000000001,0.036883167401240015
2014-03-01,9783,9.188503677367008,2014,3,Mar,1,Summer,9.208839245849916,9.298351249298896,9.275285060616564,8.768729817231666,9.260825185255126,0.046474893081849586,-0.020335568482908073,1.0,6.123233995736766e-17,0.036883167401240015
2014-04-01,10175,9.227787285579904,2014,4,Apr,2,Summer,9.188503677367008,9.208839245849916,9.298351249298896,8.75273950944749,9.231898057505274,0.05844145669861411,0.039283608212896226,0.8660254037844387,-0.4999999999999998,0.036883167401240015
2014-05-01,10529,9.261983605128021,2014,5,May,2,Summer,9.227787285579904,9.188503677367008,9.208839245849916,8.767173396684006,9.208376736265608,0.019645887735036536,0.034196319548117415,0.49999999999999994,-0.8660254037844387,0.036883167401240015
2014-06-01,11228,9.326254996572539,2014,6,Jun,2,Monsoon,9.261983605128021,9.227787285579904,9.188503677367008,8.74369111054302,9.226091522691645,0.03676930315869486,0.06427139144451743,1.2246467991473532e-16,-1.0,0.036883167401240015
2014-07-01,10665,9.274816391160547,2014,7,Jul,3,Monsoon,9.326254996572539,9.261983605128021,9.227787285579904,8.682199026000504,9.272008629093486,0.049993483136997786,-0.051438605411991745,-0.4999999999999997,-0.8660254037844388,0.036883167401240015
2014-08-01,10834,9.29053691397046,2014,8,Aug,3,Monsoon,9.274816391160547,9.326254996572539,9.261983605128021,8.719970756777574,9.287684997620369,0.03401328731132944,0.01572052280991265,-0.8660254037844385,-0.5000000000000004,0.036883167401240015
2014-09-01,10566,9.265491216441031,2014,9,Sep,3,Monsoon,9.29053691397046,9.274816391160547,9.326254996572539,8.79346036105272,9.297202767234515,0.026359205820592407,-0.025045697529428423,-1.0,-1.8369701987210297e-16,0.036883167401240015
2014-10-01,10434,9.252920819511301,2014,10,Oct,4,Post-Monsoon,9.265491216441031,9.29053691397046,9.274816391160547,8.954802752850968,9.276948173857345,0.012658203438470154,-0.012570396929730165,-0.8660254037844386,0.5000000000000001,0.036883167401240015
2014-11-01,9257,9.133243321591216,2014,11,Nov,4,Post-Monsoon,9.252920819511301,9.265491216441031,9.29053691397046,9.307194813340065,9.269649649974264,0.019149727613825846,-0.11967749792008497,-0.5000000000000004,0.8660254037844384,0.036883167401240015
2014-12-01,9657,9.175541866433488,2014,12,Dec,4,Winter,9.133243321591216,9.252920819511301,9.265491216441031,9.275285060616564,9.217218452514516,0.0729956894613429,0.04229854484227147,-2.4492935982947064e-16,1.0,0.036883167401240015
2015-01-01,9974,9.207837241758064,2015,1,Jan,1,Winter,9.175541866433488,9.133243321591216,9.252920819511301,9.298351249298896,9.187235335845335,0.060689610290986386,0.03229537532457627,0.49999999999999994,0.8660254037844387,0.049787068367863944
2015-02-01,9214,9.128587870103924,2015,2,Feb,1,Winter,9.207837241758064,9.175541866433488,9.133243321591216,9.208839245849916,9.172207476594254,0.03740857987372188,-0.07924937165413937,0.8660254037844386,0.5000000000000001,0.049787068367863944
2015-03-01,9225,9.129780864117766,2015,3,Mar,1,Summer,9.128587870103924,9.207837241758064,9.175541866433488,9.188503677367008,9.170655659431825,0.03984999361411973,0.0011929940138415418,1.0,6.123233995736766e-17,0.049787068367863944
2015-04-01,9129,9.119320973589014,2015,4,Apr,2,Summer,9.129780864117766,9.128587870103924,9.207837241758064,9.227787285579904,9.155401991993251,0.045414175893730105,-0.01045989052875207,0.8660254037844387,-0.4999999999999998,0.049787068367863944
2015-05-01,8579,9.057189192482008,2015,5,May,2,Summer,9.119320973589014,9.129780864117766,9.128587870103924,9.261983605128021,9.125896569270235,0.00572578838277421,-0.06213178110700568,0.49999999999999994,-0.8660254037844387,0.049787068367863944
2015-06-01,8050,8.993551586299981,2015,6,Jun,2,Monsoon,9.057189192482008,9.119320973589014,9.129780864117766,9.326254996572539,9.102097010062929,0.03924138615519993,-0.06363760618202718,1.2246467991473532e-16,-1.0,0.049787068367863944
2015-07-01,7556,8.93022956502072,2015,7,Jul,3,Monsoon,8.993551586299981,9.057189192482008,9.119320973589014,9.274816391160547,9.056687250790334,0.06288619605177263,-0.06332202127926045,-0.4999999999999997,-0.8660254037844388,0.049787068367863944
2015-08-01,7752,8.955835144218959,2015,8,Aug,3,Monsoon,8.93022956502072,8.993551586299981,9.057189192482008,9.29053691397046,8.99365678126757,0.06347987910166883,0.02560557919823836,-0.8660254037844385,-0.5000000000000004,0.049787068367863944
2015-09-01,8091,8.998631198287637,2015,9,Sep,3,Monsoon,8.955835144218959,8.93022956502072,8.993551586299981,9.265491216441031,8.959872098513221,0.03185345106423814,0.04279605406867759,-1.0,-1.8369701987210297e-16,0.049787068367863944
2015-10-01,8176,9.009080614161977,2015,10,Oct,4,Post-Monsoon,8.998631198287637,8.955835144218959,8.93022956502072,9.252920819511301,8.961565302509106,0.034558962570028676,0.010449415874340673,-0.8660254037844386,0.5000000000000001,0.049787068367863944
2015-11-01,8221,9.014568767457824,2015,11,Nov,4,Post-Monsoon,9.009080614161977,8.998631198287637,8.955835144218959,9.133243321591216,8.987848985556191,0.028212800302382546,0.005488153295846843,-0.5000000000000004,0.8660254037844384,0.049787068367863944
2015-12-01,7757,8.956479847999912,2015,12,Dec,4,Winter,9.014568767457824,9.009080614161977,8.998631198287637,9.175541866433488,9.007426859969145,0.008096462496744516,-0.05808891945791217,-2.4492935982947064e-16,1.0,0.049787068367863944
2016-01-01,7807,8.962904128092928,2016,1,Jan,1,Winter,8.956479847999912,9.014568767457824,9.009080614161977,9.207837241758064,8.993376409873237,0.032070970755548274,0.006424280093016321,0.49999999999999994,0.8660254037844387,0.06720551273974978
2016-02-01,7673,8.945593270806897,2016,2,Feb,1,Winter,8.962904128092928,8.956479847999912,9.014568767457824,9.128587870103924,8.977984247850221,0.031845535791797906,-0.017310857286030767,0.8660254037844386,0.5000000000000001,0.06720551273974978
2016-03-01,8079,8.997147151515142,2016,3,Mar,1,Summer,8.945593270806897,8.962904128092928,8.956479847999912,9.129780864117766,8.954992415633246,0.008750759182880924,0.05155388070824429,1.0,6.123233995736766e-17,0.06720551273974978
2016-04-01,8016,8.989319566042951,2016,4,Apr,2,Summer,8.997147151515142,8.945593270806897,8.962904128092928,9.119320973589014,8.968548183471656,0.02623627593347313,-0.007827585472190535,0.8660254037844387,-0.4999999999999998,0.06720551273974978
2016-05-01,8236,9.016391478941248,2016,5,May,2,Summer,8.989319566042951,8.997147151515142,8.945593270806897,9.057189192482008,8.977353329454997,0.02778207637269325,0.0270719128982968,0.49999999999999994,-0.8660254037844387,0.06720551273974978
2016-06-01,8368,9.032289682032873,2016,6,Jun,2,Monsoon,9.016391478941248,8.989319566042951,8.997147151515142,8.993551586299981,9.000952732166446,0.013931401582868659,0.015898203091625263,1.2246467991473532e-16,-1.0,0.06720551273974978
2016-07-01,8550,9.053803514155955,2016,7,Jul,3,Monsoon,9.032289682032873,9.016391478941248,8.989319566042951,8.93022956502072,9.01266690900569,0.02172583791135671,0.02151383212308211,-0.4999999999999997,-0.8660254037844388,0.06720551273974978
2016-08-01,8443,9.041211408968211,2016,8,Aug,3,Monsoon,9.053803514155955,9.032289682032873,9.016391478941248,8.955835144218959,9.034161558376692,0.018776129407102025,-0.012592105187744451,-0.8660254037844385,-0.5000000000000004,0.06720551273974978
2016-09-01,8793,9.081824949740755,2016,9,Sep,3,Monsoon,9.041211408968211,9.053803514155955,9.032289682032873,8.998631198287637,9.042434868385678,0.010808972331615525,0.040613540772543644,-1.0,-1.8369701987210297e-16,0.06720551273974978
2016-10-01,9297,9.13755460225053,2016,10,Oct,4,Post-Monsoon,9.081824949740755,9.041211408968211,9.053803514155955,9.009080614161977,9.058946624288307,0.020789507206698695,0.05572965250977546,-0.8660254037844386,0.5000000000000001,0.06720551273974978
2016-11-01,8875,9.091106284052485,2016,11,Nov,4,Post-Monsoon,9.13755460225053,9.081824949740755,9.041211408968211,9.014568767457824,9.086863653653166,0.04836883424064181,-0.04644831819804551,-0.5000000000000004,0.8660254037844384,0.06720551273974978
2016-12-01,8337,9.028578658440741,2016,12,Dec,4,Winter,9.091106284052485,9.13755460225053,9.081824949740755,8.956479847999912,9.103495278681256,0.029859067854704355,-0.06252762561174308,-2.4492935982947064e-16,1.0,0.06720551273974978
2017-01-01,7994,8.986571625268054,2017,1,Jan,1,Winter,9.028578658440741,9.091106284052485,9.13755460225053,8.962904128092928,9.085746514914584,0.05468532185348867,-0.04200703317268761,0.49999999999999994,0.8660254037844387,0.09071795328941251
2017-02-01,7725,8.952346543226227,2017,2,Feb,1,Winter,8.986571625268054,9.028578658440741,9.091106284052485,8.945593270806897,9.035418855920426,0.052601948138504925,-0.03422508204182684,0.8660254037844386,0.5000000000000001,0.09071795328941251
2017-03-01,7719,8.951569643018821,2017,3,Mar,1,Summer,8.952346543226227,8.986571625268054,9.028578658440741,8.997147151515142,8.989165608978341,0.03818220018720758,-0.0007769002074056175,1.0,6.123233995736766e-17,0.09071795328941251
2017-04-01,7550,8.929435283803425,2017,4,Apr,2,Summer,8.951569643018821,8.952346543226227,8.986571625268054,8.989319566042951,8.963495937171034,0.01998790707765094,-0.022134359215396415,0.8660254037844387,-0.4999999999999998,0.09071795328941251
2017-05-01,7412,8.910990494656719,2017,5,May,2,Summer,8.929435283803425,8.951569643018821,8.952346543226227,9.016391478941248,8.944450490016157,0.013009350740492618,-0.018444789146705887,0.49999999999999994,-0.8660254037844387,0.09071795328941251
2017-06-01,7187,8.88016824790345,2017,6,Jun,2,Monsoon,8.910990494656719,8.929435283803425,8.951569643018821,9.032289682032873,8.930665140492989,0.02031751045412581,-0.030822246753269056,1.2246467991473532e-16,-1.0,0.09071795328941251
2017-07-01,7037,8.85907931788153,2017,7,Jul,3,Monsoon,8.88016824790345,8.910990494656719,8.929435283803425,9.053803514155955,8.90686467545453,0.024891303594950568,-0.021088930021919694,-0.4999999999999997,-0.8660254037844388,0.09071795328941251
2017-08-01,6844,8.83127373772255,2017,8,Aug,3,Monsoon,8.85907931788153,8.88016824790345,8.910990494656719,9.041211408968211,8.8834126868139,0.026107228049431518,-0.027805580158981158,-0.8660254037844385,-0.5000000000000004,0.09071795328941251
2017-09-01,7163,8.876823763180603,2017,9,Sep,3,Monsoon,8.83127373772255,8.85907931788153,8.88016824790345,9.081824949740755,8.85684043450251,0.024524023539000482,0.04555002545805387,-1.0,-1.8369701987210297e-16,0.09071795328941251
2017-10-01,7188,8.880307358983872,2017,10,Oct,4,Post-Monsoon,8.876823763180603,8.83127373772255,8.85907931788153,9.13755460225053,8.85572560626156,0.02295945863963257,0.0034835958032690684,-0.8660254037844386,0.5000000000000001,0.09071795328941251
2017-11-01,7013,8.855663430700124,2017,11,Nov,4,Post-Monsoon,8.880307358983872,8.876823763180603,8.83127373772255,9.091106284052485,8.86280161996234,0.027359447706783665,-0.02464392828374784,-0.5000000000000004,0.8660254037844384,0.09071795328941251
2017-12-01,6800,8.824824939175638,2017,12,Dec,4,Winter,8.855663430700124,8.880307358983872,8.876823763180603,9.028578658440741,8.870931517621534,0.013336780668721791,-0.030838491524486145,-2.4492935982947064e-16,1.0,0.09071795328941251
2018-01-01,6763,8.81936971001847,2018,1,Jan,1,Winter,8.824824939175638,8.855663430700124,8.880307358983872,8.986571625268054,8.853598576286545,0.027798784950990394,-0.005455229157167452,0.49999999999999994,0.8660254037844387,0.1224564282529819
2018-02-01,6550,8.787372988731876,2018,2,Feb,1,Winter,8.81936971001847,8.824824939175638,8.855663430700124,8.952346543226227,8.833286026631411,0.019570412385146705,-0.031996721286594365,0.8660254037844386,0.5000000000000001,0.1224564282529819
2018-03-01,6500,8.77971129020447,2018,3,Mar,1,Summer,8.787372988731876,8.81936971001847,8.824824939175638,8.951569643018821,8.81052254597533,0.02023280459325931,-0.007661698527407168,1.0,6.123233995736766e-17,0.1224564282529819
2018-04-01,6362,8.758255243232792,2018,4,Apr,2,Summer,8.77971129020447,8.787372988731876,8.81936971001847,8.929435283803425,8.795484662984938,0.021036801323396366,-0.021456046971676912,0.8660254037844387,-0.4999999999999998,0.1224564282529819
2018-05-01,6487,8.77770959579525,2018,5,May,2,Summer,8.758255243232792,8.77971129020447,8.787372988731876,8.910990494656719,8.77511317405638,0.015093633751138157,0.01945435256245709,0.49999999999999994,-0.8660254037844387,0.1224564282529819
2018-06-01,6362,8.758255243232792,2018,6,Jun,2,Monsoon,8.77770959579525,8.758255243232792,8.77971129020447,8.88016824790345,8.771892043077505,0.01185214865005726,-0.01945435256245709,1.2246467991473532e-16,-1.0,0.1224564282529819
2018-07-01,7550,8.929435283803425,2018,7,Jul,3,Monsoon,8.758255243232792,8.77770959579525,8.758255243232792,8.85907931788153,8.76474002742028,0.011231975688502729,0.17118004057063274,-0.4999999999999997,-0.8660254037844388,0.1224564282529819
2018-08-01,7200,8.881975184248867,2018,8,Aug,3,Monsoon,8.929435283803425,8.758255243232792,8.77770959579525,8.83127373772255,8.821800040943822,0.09372100664997385,-0.047460099554557544,-0.8660254037844385,-0.5000000000000004,0.1224564282529819
2018-09-01,7200,8.881975184248867,2018,9,Sep,3,Monsoon,8.881975184248867,8.929435283803425,8.758255243232792,8.876823763180603,8.856555237095028,0.08837579904823523,0.0,-1.0,-1.8369701987210297e-16,0.1224564282529819
2018-10-01,7200,8.881975184248867,2018,10,Oct,4,Post-Monsoon,8.881975184248867,8.881975184248867,8.929435283803425,8.880307358983872,8.89779521743372,0.02740110125352728,0.0,-0.8660254037844386,0.5000000000000001,0.1224564282529819
2018-11-01,6850,8.832149906002899,2018,11,Nov,4,Post-Monsoon,8.881975184248867,8.881975184248867,8.881975184248867,8.855663430700124,8.881975184248867,0.0,-0.04982527824596872,-0.5000000000000004,0.8660254037844384,0.1224564282529819
2018-12-01,6725,8.813735892300215,2018,12,Dec,4,Winter,8.832149906002899,8.881975184248867,8.881975184248867,8.824824939175638,8.865366758166878,0.0287666378077583,-0.018414013702683363,-2.4492935982947064e-16,1.0,0.1224564282529819
